rule,dataset,operating_point,pattern_code,pattern,n,events,event_rate
direct_vote_balanced_pattern_gate,gangnam_internal,S80,0,----,266,90,0.3383458646616541
direct_vote_balanced_pattern_gate,gangnam_internal,S80,1,+---,9,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,2,-+--,26,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,3,++--,25,7,0.28
direct_vote_balanced_pattern_gate,gangnam_internal,S80,4,--+-,20,1,0.05
direct_vote_balanced_pattern_gate,gangnam_internal,S80,5,+-+-,14,2,0.14285714285714285
direct_vote_balanced_pattern_gate,gangnam_internal,S80,6,-++-,10,1,0.1
direct_vote_balanced_pattern_gate,gangnam_internal,S80,7,+++-,16,2,0.125
direct_vote_balanced_pattern_gate,gangnam_internal,S80,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,9,+--+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,10,-+-+,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,11,++-+,7,1,0.14285714285714285
direct_vote_balanced_pattern_gate,gangnam_internal,S80,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,13,+-++,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,14,-+++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,15,++++,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,0,----,283,91,0.3215547703180212
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,1,+---,8,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,2,-+--,26,2,0.07692307692307693
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,3,++--,23,5,0.21739130434782608
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,4,--+-,23,3,0.13043478260869565
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,5,+-+-,17,3,0.17647058823529413
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,6,-++-,7,1,0.14285714285714285
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,7,+++-,17,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,9,+--+,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,10,-+-+,3,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,11,++-+,9,2,0.2222222222222222
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,13,+-++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,14,-+++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,15,++++,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,0,----,313,95,0.3035143769968051
direct_vote_balanced_pattern_gate,gangnam_internal,S85,1,+---,13,1,0.07692307692307693
direct_vote_balanced_pattern_gate,gangnam_internal,S85,2,-+--,33,2,0.06060606060606061
direct_vote_balanced_pattern_gate,gangnam_internal,S85,3,++--,20,5,0.25
direct_vote_balanced_pattern_gate,gangnam_internal,S85,4,--+-,22,1,0.045454545454545456
direct_vote_balanced_pattern_gate,gangnam_internal,S85,5,+-+-,13,2,0.15384615384615385
direct_vote_balanced_pattern_gate,gangnam_internal,S85,6,-++-,5,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,7,+++-,17,1,0.058823529411764705
direct_vote_balanced_pattern_gate,gangnam_internal,S85,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S85,9,+--+,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,10,-+-+,4,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,11,++-+,10,2,0.2
direct_vote_balanced_pattern_gate,gangnam_internal,S85,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S85,13,+-++,2,1,0.5
direct_vote_balanced_pattern_gate,gangnam_internal,S85,14,-+++,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,15,++++,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,0,----,380,103,0.2710526315789474
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,1,+---,13,4,0.3076923076923077
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,2,-+--,33,2,0.06060606060606061
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,3,++--,22,1,0.045454545454545456
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,4,--+-,21,1,0.047619047619047616
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,5,+-+-,12,1,0.08333333333333333
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,6,-++-,11,1,0.09090909090909091
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,7,+++-,17,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,9,+--+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,10,-+-+,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,11,++-+,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,13,+-++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,14,-+++,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,15,++++,5,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S90,0,----,423,108,0.2553191489361702
direct_vote_balanced_pattern_gate,gangnam_internal,S90,1,+---,12,2,0.16666666666666666
direct_vote_balanced_pattern_gate,gangnam_internal,S90,2,-+--,35,1,0.02857142857142857
direct_vote_balanced_pattern_gate,gangnam_internal,S90,3,++--,17,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S90,4,--+-,25,2,0.08
direct_vote_balanced_pattern_gate,gangnam_internal,S90,5,+-+-,15,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S90,6,-++-,10,1,0.1
direct_vote_balanced_pattern_gate,gangnam_internal,S90,7,+++-,18,1,0.05555555555555555
direct_vote_balanced_pattern_gate,gangnam_internal,S90,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S90,9,+--+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S90,10,-+-+,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S90,11,++-+,8,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S90,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S90,13,+-++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S90,14,-+++,1,1,1.0
direct_vote_balanced_pattern_gate,gangnam_internal,S90,15,++++,5,1,0.2
direct_vote_balanced_pattern_gate,sinchon_external,S80,0,----,317,104,0.3280757097791798
direct_vote_balanced_pattern_gate,sinchon_external,S80,1,+---,3,2,0.6666666666666666
direct_vote_balanced_pattern_gate,sinchon_external,S80,2,-+--,37,5,0.13513513513513514
direct_vote_balanced_pattern_gate,sinchon_external,S80,3,++--,5,2,0.4
direct_vote_balanced_pattern_gate,sinchon_external,S80,4,--+-,36,7,0.19444444444444445
direct_vote_balanced_pattern_gate,sinchon_external,S80,5,+-+-,3,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S80,6,-++-,4,1,0.25
direct_vote_balanced_pattern_gate,sinchon_external,S80,7,+++-,6,1,0.16666666666666666
direct_vote_balanced_pattern_gate,sinchon_external,S80,8,---+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S80,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S80,10,-+-+,4,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S80,11,++-+,1,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S80,12,--++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S80,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S80,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S80,15,++++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,0,----,335,109,0.3253731343283582
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,1,+---,2,1,0.5
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,2,-+--,33,5,0.15151515151515152
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,3,++--,4,2,0.5
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,4,--+-,35,5,0.14285714285714285
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,5,+-+-,4,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,6,-++-,4,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,7,+++-,7,1,0.14285714285714285
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,10,-+-+,3,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,11,++-+,2,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,12,--++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S82.5,15,++++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S85,0,----,360,114,0.31666666666666665
direct_vote_balanced_pattern_gate,sinchon_external,S85,1,+---,3,2,0.6666666666666666
direct_vote_balanced_pattern_gate,sinchon_external,S85,2,-+--,40,5,0.125
direct_vote_balanced_pattern_gate,sinchon_external,S85,3,++--,7,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S85,4,--+-,31,2,0.06451612903225806
direct_vote_balanced_pattern_gate,sinchon_external,S85,5,+-+-,3,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S85,6,-++-,7,1,0.14285714285714285
direct_vote_balanced_pattern_gate,sinchon_external,S85,7,+++-,5,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S85,8,---+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S85,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S85,10,-+-+,1,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S85,11,++-+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S85,12,--++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S85,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S85,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S85,15,++++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,0,----,407,121,0.2972972972972973
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,1,+---,1,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,2,-+--,41,2,0.04878048780487805
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,3,++--,4,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,4,--+-,30,3,0.1
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,5,+-+-,3,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,6,-++-,10,2,0.2
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,7,+++-,6,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,10,-+-+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,11,++-+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,12,--++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S87.5,15,++++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S90,0,----,442,124,0.28054298642533937
direct_vote_balanced_pattern_gate,sinchon_external,S90,1,+---,1,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S90,2,-+--,41,3,0.07317073170731707
direct_vote_balanced_pattern_gate,sinchon_external,S90,3,++--,2,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S90,4,--+-,27,2,0.07407407407407407
direct_vote_balanced_pattern_gate,sinchon_external,S90,5,+-+-,4,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S90,6,-++-,13,2,0.15384615384615385
direct_vote_balanced_pattern_gate,sinchon_external,S90,7,+++-,4,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S90,8,---+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S90,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S90,10,-+-+,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S90,11,++-+,2,0,0.0
direct_vote_balanced_pattern_gate,sinchon_external,S90,12,--++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S90,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S90,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sinchon_external,S90,15,++++,0,0,
